kreiskey1882,county,rb,occ1882_se_min_pr,occ1882_emp_min_pr,occ1882_se_sto_pr,occ1882_emp_sto_pr,occ1882_se_met_pr,occ1882_emp_met_pr,occ1882_se_eng_pr,occ1882_emp_eng_pr,occ1882_se_che_pr,occ1882_emp_che_pr,occ1882_se_lum_pr,occ1882_emp_lum_pr,occ1882_se_tex_pr,occ1882_emp_tex_pr,occ1882_se_pap_pr,occ1882_emp_pap_pr,occ1882_se_woo_pr,occ1882_emp_woo_pr,occ1882_se_foo_pr,occ1882_emp_foo_pr,occ1882_se_clo_pr,occ1882_emp_clo_pr,occ1882_se_bui_pr,occ1882_emp_bui_pr,occ1882_se_pri_pr,occ1882_emp_pri_pr,occ1882_se_art_pr,occ1882_emp_art_pr,occ1882_se_min_cat,occ1882_emp_min_cat,occ1882_se_sto_cat,occ1882_emp_sto_cat,occ1882_se_met_cat,occ1882_emp_met_cat,occ1882_se_eng_cat,occ1882_emp_eng_cat,occ1882_se_che_cat,occ1882_emp_che_cat,occ1882_se_lum_cat,occ1882_emp_lum_cat,occ1882_se_tex_cat,occ1882_emp_tex_cat,occ1882_se_pap_cat,occ1882_emp_pap_cat,occ1882_se_woo_cat,occ1882_emp_woo_cat,occ1882_se_foo_cat,occ1882_emp_foo_cat,occ1882_se_clo_cat,occ1882_emp_clo_cat,occ1882_se_bui_cat,occ1882_emp_bui_cat,occ1882_se_pri_cat,occ1882_emp_pri_cat,occ1882_se_art_cat,occ1882_emp_art_cat,occ1882_se_min_jew,occ1882_emp_min_jew,occ1882_se_sto_jew,occ1882_emp_sto_jew,occ1882_se_met_jew,occ1882_emp_met_jew,occ1882_se_eng_jew,occ1882_emp_eng_jew,occ1882_se_che_jew,occ1882_emp_che_jew,occ1882_se_lum_jew,occ1882_emp_lum_jew,occ1882_se_tex_jew,occ1882_emp_tex_jew,occ1882_se_pap_jew,occ1882_emp_pap_jew,occ1882_se_woo_jew,occ1882_emp_woo_jew,occ1882_se_foo_jew,occ1882_emp_foo_jew,occ1882_se_clo_jew,occ1882_emp_clo_jew,occ1882_se_bui_jew,occ1882_emp_bui_jew,occ1882_se_pri_jew,occ1882_emp_pri_jew,occ1882_se_art_jew,occ1882_emp_art_jew,occ1882_se_min_tot,occ1882_emp_min_tot,occ1882_se_sto_tot,occ1882_emp_sto_tot,occ1882_se_met_tot,occ1882_emp_met_tot,occ1882_se_eng_tot,occ1882_emp_eng_tot,occ1882_se_che_tot,occ1882_emp_che_tot,occ1882_se_lum_tot,occ1882_emp_lum_tot,occ1882_se_tex_tot,occ1882_emp_tex_tot,occ1882_se_pap_tot,occ1882_emp_pap_tot,occ1882_se_woo_tot,occ1882_emp_woo_tot,occ1882_se_foo_tot,occ1882_emp_foo_tot,occ1882_se_clo_tot,occ1882_emp_clo_tot,occ1882_se_bui_tot,occ1882_emp_bui_tot,occ1882_se_pri_tot,occ1882_emp_pri_tot,occ1882_se_art_tot,occ1882_emp_art_tot
149,"INOWRAZLAW","BRO",4,156,8,106,61,110,19,18,4,6,1,3,13,7,18,26,44,62,127,306,241,128,50,489,2,6,0,0,0,141,13,115,50,122,37,33,2,5,0,9,3,3,22,45,68,90,88,424,412,249,40,584,0,3,0,0,0,1,0,0,5,6,4,0,1,0,2,2,0,0,1,0,0,0,26,32,166,80,14,6,1,0,0,0,4,299,21,221,116,238,61,51,7,11,3,14,16,10,41,71,112,152,241,763,820,458,104,1080,3,9,0,0
150,"MOGILNO","BRO",0,23,5,16,41,38,14,14,4,1,1,1,2,3,8,10,15,16,56,96,79,33,29,131,1,1,0,0,1,17,21,38,68,64,25,21,1,3,0,0,2,0,15,15,64,51,87,148,311,188,33,276,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,21,7,48,15,6,2,0,0,0,0,1,40,26,54,110,102,39,35,5,4,2,2,4,3,24,25,79,67,164,251,438,236,68,409,1,4,0,0
151,"GNESEN","BRO",0,4,6,49,24,42,14,14,2,1,1,5,7,3,11,10,16,38,53,72,125,40,36,245,3,3,0,0,0,7,14,126,93,132,40,40,4,6,1,6,14,8,33,53,90,131,143,253,637,401,53,474,2,14,1,1,0,0,1,1,3,6,1,1,1,1,2,2,3,0,2,1,1,2,42,15,128,32,19,3,0,0,0,0,0,11,21,176,120,180,55,55,7,8,4,13,24,11,46,64,107,171,238,340,890,473,108,722,5,17,1,1
152,"WONGROWITZ","BRO",0,78,4,28,29,25,15,7,4,3,0,0,7,5,5,5,22,30,41,51,82,29,18,93,1,2,0,0,0,43,13,63,66,44,31,21,1,3,0,0,13,4,17,21,57,54,88,158,222,126,39,337,0,0,0,0,0,0,1,0,4,5,0,1,0,0,0,0,1,0,0,0,2,1,30,17,72,47,12,3,0,0,0,0,0,121,18,91,99,74,46,29,5,6,0,0,21,9,22,26,81,85,159,226,376,202,69,433,1,2,0,0
153,"NAMSLAU","BRE",0,0,4,34,54,81,34,40,2,4,2,3,47,14,25,29,49,59,93,189,265,206,27,193,1,6,1,1,0,0,3,53,22,34,15,22,1,0,1,0,26,7,8,11,44,46,48,104,258,169,15,198,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,9,0,0,0,0,0,0,0,0,0,7,87,77,115,49,62,3,4,3,3,74,21,33,40,93,105,147,298,532,375,42,391,2,7,1,2
154,"WARTENBERG","BRE",1,0,13,52,83,66,37,31,3,1,1,1,63,59,21,26,177,185,144,148,385,211,47,198,2,3,5,5,0,2,7,57,26,33,20,13,0,2,0,0,20,22,8,16,41,54,36,60,167,87,26,303,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,1,8,5,0,0,0,0,0,0,1,2,20,109,109,100,58,45,3,3,1,1,83,81,29,42,218,239,185,209,560,303,73,501,2,5,5,5
155,"OLS","BRE",0,1,11,219,142,251,81,116,6,8,9,12,96,146,48,296,151,174,220,552,959,535,52,700,6,16,2,1,0,0,8,60,22,63,13,32,0,4,0,2,9,34,12,89,32,42,46,85,155,96,21,156,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,3,2,0,0,0,0,0,0,1,19,279,165,314,94,148,6,12,9,14,105,180,61,385,183,216,273,647,1118,634,75,856,6,20,2,1
156,"TREBNITZ","BRE",1,12,13,227,120,148,59,48,3,4,2,12,39,6,31,60,116,113,239,331,536,209,46,408,1,5,1,0,0,0,2,69,35,32,20,21,0,0,1,2,11,1,13,16,37,31,67,68,185,72,20,219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,12,15,296,155,180,79,69,3,4,3,14,50,7,44,76,153,144,310,400,721,281,66,628,2,6,1,0
157,"MILITSCH","BRE",0,1,10,132,103,85,58,38,3,4,8,1,133,25,34,44,113,132,249,302,638,286,55,700,4,7,1,0,0,0,4,44,28,46,10,8,3,0,0,2,31,6,10,13,26,36,52,90,210,104,12,160,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,9,5,3,0,0,1,0,1,0,0,0,1,14,176,132,132,68,46,6,4,8,3,165,32,44,57,139,168,310,397,851,391,67,861,5,9,1,0
158,"GUHRAU","BRE",0,1,23,114,88,115,40,45,1,1,4,5,65,13,21,29,87,85,241,231,477,166,36,541,1,6,1,2,0,0,6,27,23,31,18,15,1,0,2,0,29,8,13,11,30,35,42,50,121,57,9,285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,1,30,141,111,146,58,61,2,1,6,5,94,21,34,40,117,120,286,283,601,226,45,826,1,6,1,2
159,"STEINAU","BRE",0,5,9,125,66,62,36,49,3,1,3,4,39,13,22,24,82,81,167,152,322,126,28,308,2,6,3,1,0,0,3,44,14,26,8,15,2,0,0,1,13,1,7,7,26,22,25,54,96,42,10,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,5,12,169,80,88,44,64,5,1,3,5,52,14,29,31,108,103,193,208,423,171,38,409,2,6,3,2
160,"WOHLAU","BRE",1,31,18,198,127,146,49,46,4,5,2,1,63,7,26,20,132,93,226,243,575,253,44,468,3,11,0,0,0,2,9,102,35,42,18,20,1,1,1,0,62,14,18,17,52,57,93,97,281,103,22,241,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,1,33,27,300,164,189,67,67,5,6,3,1,125,21,44,37,184,150,323,342,860,356,67,709,3,11,0,1
161,"NEUMARKT","BRE",0,2,6,168,104,128,69,56,5,25,3,5,40,12,44,104,130,126,182,415,578,359,53,602,4,7,2,4,0,2,16,111,92,129,41,58,2,14,5,3,35,14,62,99,98,92,122,344,507,314,57,585,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,4,22,279,196,257,110,114,7,39,8,8,75,26,108,206,228,219,308,764,1088,673,110,1187,7,11,2,7
162,"BRESLAU","BRE",9,33,72,406,471,3106,280,1425,41,216,32,229,470,735,320,821,844,2629,713,2872,5969,5488,488,3165,54,701,75,159,1,18,58,357,230,1902,114,843,17,151,11,125,329,545,171,562,498,1915,355,1769,4380,4495,247,1746,28,376,34,114,2,0,12,1,28,21,22,11,6,6,10,4,69,13,23,11,54,37,110,83,381,178,33,7,17,26,4,5,12,51,144,769,733,5041,418,2289,65,374,53,358,872,1295,515,1395,1407,4602,1180,4733,10771,10192,775,4936,99,1109,115,280
163,"BRESLAU","BRE",0,0,23,358,108,315,57,161,2,91,0,27,21,214,35,59,85,160,179,923,434,162,42,1141,0,4,0,2,0,0,8,291,71,134,41,91,2,68,0,16,12,106,19,46,67,95,80,517,278,116,19,837,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,31,649,179,449,99,253,4,160,0,43,33,320,54,105,152,255,264,1445,712,278,61,1978,0,6,0,3
164,"OHLAU","BRE",0,0,4,91,82,126,55,46,8,39,3,21,44,23,32,35,119,126,118,568,445,216,32,453,2,6,0,0,0,0,7,66,63,100,30,20,1,24,2,11,18,4,33,34,71,44,104,633,387,217,42,423,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,4,1,1,0,0,1,0,0,0,0,0,11,158,145,226,85,66,9,64,7,33,62,27,65,69,190,170,230,1205,834,435,74,876,4,8,1,0
165,"BRIEG","BRE",1,13,20,203,123,271,76,114,7,6,7,13,105,76,58,182,198,255,202,608,892,404,70,933,4,25,4,3,0,11,2,94,34,97,12,8,1,5,0,6,22,44,20,70,43,92,26,269,273,139,18,173,3,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,14,9,0,1,0,1,0,1,0,0,1,24,22,297,157,369,88,123,8,11,7,19,127,120,80,253,242,348,243,888,1165,544,90,1107,7,32,4,5
166,"STREHLEN","BRE",0,0,7,362,78,128,42,49,4,6,1,7,450,307,31,28,111,82,121,300,516,288,50,399,2,3,1,1,0,0,0,182,30,48,13,14,0,0,2,1,21,4,12,27,32,44,34,112,152,104,17,136,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,8,544,108,176,55,63,4,6,3,8,472,311,44,55,143,126,158,416,672,393,67,537,3,10,1,2
167,"NIMPTSCH","BRE",0,1,4,136,77,105,50,35,2,6,0,0,72,5,25,30,81,83,101,203,373,204,25,376,0,3,1,0,0,0,1,50,25,41,10,15,2,3,1,0,4,4,9,10,27,19,34,83,124,64,11,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,186,102,146,61,50,4,9,1,0,76,9,34,40,108,102,135,286,497,268,36,540,1,3,1,0
168,"MUNSTERBERG","BRE",0,0,3,54,21,26,15,12,2,4,1,1,24,1,10,13,29,44,43,52,134,57,14,92,1,2,0,0,0,4,5,189,84,93,46,41,0,6,4,7,74,14,24,29,161,115,112,164,626,328,49,513,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,4,8,243,105,119,61,53,2,10,5,8,98,15,34,42,190,159,159,217,761,388,63,605,2,5,1,0
169,"FRANKENSTEIN","BRE",0,4,8,27,31,58,25,57,6,6,4,3,413,155,10,11,69,57,59,80,196,75,18,135,0,5,3,2,0,4,27,171,144,203,83,117,8,108,4,12,704,136,66,70,307,253,172,319,974,469,51,617,4,14,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,8,35,198,175,262,108,174,14,114,9,15,1119,291,76,82,376,310,235,400,1172,545,69,752,4,19,9,4
170,"REICHENBACH","BRE",0,3,15,254,132,198,87,96,5,7,5,11,4484,3353,49,74,185,241,223,497,885,349,59,749,8,19,6,5,0,0,11,119,45,78,37,29,1,4,0,5,1815,1508,32,38,87,93,104,254,473,211,22,321,3,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,3,2,3,1,0,0,0,0,0,0,0,3,26,373,179,277,124,125,6,12,5,16,6307,4865,82,112,273,334,333,758,1363,561,81,1071,11,31,6,10
171,"SCHWEIDNITZ","BRE",1,11,25,480,208,575,154,756,11,121,12,20,783,891,101,173,292,547,231,695,1140,702,85,1022,13,45,12,28,0,5,12,450,86,312,59,314,5,107,2,12,560,434,45,87,167,351,156,460,778,562,45,711,4,21,7,9,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,11,5,4,0,0,0,0,0,0,0,1,17,39,940,296,888,216,1073,16,228,14,32,1348,1332,147,262,460,904,401,1166,1932,1266,131,1737,17,66,19,37
172,"STRIEGAU","BRE",0,4,27,879,86,171,41,85,2,112,3,1,24,13,38,112,84,147,126,488,404,227,34,468,7,28,0,2,0,3,4,496,49,91,18,64,1,53,0,4,16,9,28,98,66,124,71,257,323,158,32,361,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,7,31,1379,135,263,59,150,3,165,3,5,40,22,66,213,150,272,200,746,728,385,66,829,7,34,2,2
173,"WALDENBURG","BRE",27,6497,37,1859,210,437,104,404,11,60,9,41,2096,3984,92,251,287,381,329,738,1366,660,110,1128,15,43,9,16,3,4328,12,987,47,187,27,174,4,36,1,22,316,1264,27,103,105,152,105,306,474,371,32,463,3,24,5,4,0,1,1,2,1,1,0,1,0,0,0,0,4,1,1,1,0,0,8,4,4,2,2,0,1,0,0,0,30,10835,52,2858,258,626,131,586,15,96,10,63,2430,5277,121,356,396,535,447,1050,1847,1036,144,1592,19,70,14,20
174,"GLATZ","BRE",1,2,7,29,16,19,6,10,5,3,0,1,90,69,11,7,15,16,16,43,81,30,13,30,3,15,1,1,1,11,164,584,171,259,101,82,2,18,6,15,2424,1516,88,115,332,291,267,776,1199,630,54,820,7,23,12,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,2,1,0,0,0,0,0,2,13,172,613,188,279,108,92,7,21,6,16,2515,1585,99,122,347,307,291,823,1283,662,68,851,10,38,13,10
175,"NEURODE","BRE",1,13,1,18,5,11,0,10,3,2,0,1,44,39,1,3,6,8,18,22,27,15,10,32,3,15,1,0,2,1002,34,348,119,165,60,72,0,2,3,8,5244,1023,57,85,193,177,242,389,758,373,35,519,6,141,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1018,35,366,124,177,60,82,3,4,3,9,5299,1063,58,88,199,185,260,411,786,389,45,551,9,156,3,8
176,"HABELSCHWERDT","BRE",0,1,0,3,8,8,3,2,3,6,1,0,4,4,3,5,12,14,10,9,30,16,3,17,0,2,0,0,1,0,39,412,173,211,110,71,12,166,8,7,1102,535,91,142,875,661,315,531,1259,579,61,749,11,21,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,39,415,181,219,113,73,15,173,9,7,1106,540,94,147,889,676,326,540,1290,597,64,766,11,23,6,4
177,"GRUNBERG","LIE",1,166,18,178,109,251,61,117,4,2,7,17,178,1735,36,69,178,166,291,355,690,225,66,673,4,42,5,8,0,45,5,35,27,75,8,14,2,2,1,11,39,256,8,18,32,33,43,56,173,70,14,136,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,0,3,1,6,0,0,0,0,1,0,0,1,211,23,213,137,327,69,131,7,6,8,28,223,1994,44,87,211,200,337,413,869,295,81,809,4,48,6,8
178,"FREISTADT","LIE",6,561,32,139,145,288,75,78,4,4,5,27,152,871,44,179,237,218,337,394,818,328,70,735,9,24,6,11,0,201,3,26,22,88,9,16,3,3,0,18,27,305,14,28,43,50,44,67,200,65,24,118,0,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,7,3,0,0,1,0,0,0,6,766,35,165,168,376,84,94,7,7,6,47,180,1180,60,207,282,269,384,462,1028,397,94,854,10,29,6,14
179,"SAGAN","LIE",3,129,71,684,137,187,61,73,8,2,6,17,731,1437,48,83,197,191,214,320,766,364,61,671,8,23,4,4,1,26,6,80,24,54,15,14,1,2,1,1,86,342,10,17,44,44,40,63,247,94,18,162,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,4,1,0,1,0,0,0,0,0,4,155,77,764,161,241,76,87,9,5,7,18,820,1779,58,101,241,235,255,388,1014,458,80,833,9,30,5,4
180,"SPROTTAU","LIE",3,6,24,133,108,941,55,60,5,16,4,8,128,106,29,31,117,173,171,284,572,216,68,524,3,6,5,2,0,0,3,31,17,112,6,17,2,6,0,1,12,52,6,9,24,37,31,74,116,41,5,113,1,2,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,3,6,27,164,125,1053,61,79,7,22,5,9,142,158,35,40,141,210,202,358,694,258,74,637,4,8,6,5
181,"GLOGAU","LIE",1,34,22,208,145,283,88,119,8,8,5,38,136,93,53,104,174,235,351,524,1116,503,77,1192,11,121,6,13,0,1,11,87,44,139,23,50,0,7,3,30,43,99,14,47,78,117,126,204,555,255,50,641,1,39,0,3,0,0,0,0,2,1,0,0,0,0,1,0,5,2,3,1,2,0,11,9,19,10,3,0,0,2,0,0,1,35,33,295,192,424,112,169,8,15,9,68,184,194,71,152,254,352,488,737,1690,770,130,1833,12,163,6,16
182,"LUBEN","LIE",0,249,12,107,86,595,47,51,0,1,5,1,62,48,28,37,109,98,166,256,522,160,64,514,0,6,0,0,0,13,4,10,9,71,6,10,2,2,0,1,12,2,7,9,12,17,20,62,83,47,11,98,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,262,16,117,95,666,53,61,2,3,5,2,76,50,35,46,121,115,189,320,606,207,75,612,1,7,1,0
183,"BUNZLAU","LIE",4,386,95,1358,191,385,114,95,5,5,4,15,113,286,59,115,261,235,292,411,1104,356,87,1097,4,32,7,17,0,21,46,513,39,43,15,12,2,1,3,2,28,28,32,25,51,51,56,72,283,106,18,201,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,1,0,0,1,0,0,0,4,407,141,1873,230,428,129,107,7,6,7,17,141,314,91,140,312,286,354,486,1393,463,105,1298,5,41,9,19
184,"GOLDBERG-HAINAU","LIE",2,35,22,315,223,291,129,93,7,13,7,8,107,152,70,157,256,214,257,442,1197,605,63,999,5,17,2,4,1,4,3,26,21,44,12,12,0,0,0,0,12,14,15,37,39,46,28,82,116,88,10,126,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,5,1,2,0,0,1,0,0,0,3,39,25,341,244,335,141,105,7,14,7,8,120,168,85,194,295,260,288,529,1319,695,73,1126,7,23,2,4
185,"LIEGNITZ","LIE",0,2,13,132,111,392,81,221,12,36,11,63,331,386,68,137,150,592,138,404,1066,763,95,773,16,101,8,49,0,0,1,28,28,130,23,63,0,6,2,5,78,91,39,65,46,212,41,129,356,289,32,204,6,20,7,17,0,0,1,0,0,2,2,0,0,2,2,2,4,1,0,0,3,1,9,0,13,8,1,0,1,0,0,0,0,2,15,160,141,526,107,285,12,44,15,70,414,479,107,202,203,806,189,533,1442,1062,129,981,23,123,15,66
186,"LIEGNITZ","LIE",0,4,16,289,134,154,74,69,1,5,2,17,45,20,32,37,148,133,194,329,609,222,50,884,0,1,0,0,0,0,2,38,23,34,13,5,2,4,0,3,11,3,13,24,32,36,40,57,91,34,14,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,18,327,157,188,87,74,3,9,2,20,56,23,45,61,181,169,235,388,701,256,64,1033,0,1,0,0
187,"JAUER","LIE",1,136,7,213,105,182,82,122,2,11,8,5,63,23,44,132,129,182,171,419,557,225,48,430,7,12,2,3,1,36,2,128,29,80,21,52,1,3,0,3,18,16,12,82,66,150,41,236,284,180,18,264,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,1,0,0,0,0,0,0,2,172,10,341,135,262,103,175,3,14,8,8,83,39,56,214,197,332,217,660,845,406,66,698,7,17,5,5
188,"SCHONAU","LIE",1,46,9,158,111,104,62,51,6,7,3,1,365,137,37,247,150,85,118,147,436,136,12,372,0,1,0,0,0,3,4,25,9,19,9,17,0,0,0,0,17,13,6,29,19,19,23,34,75,28,11,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,49,13,183,120,123,71,68,6,7,3,1,382,150,43,276,169,104,142,181,511,164,23,494,1,1,0,0
189,"BOLKENHAIN","LIE",0,48,7,253,95,92,59,52,6,12,2,8,682,970,37,43,150,93,145,223,508,179,25,565,2,2,2,1,1,7,5,55,26,27,10,5,0,1,1,1,190,155,7,15,38,32,24,31,156,54,9,157,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,12,308,121,119,69,57,6,13,3,9,874,1133,44,58,189,125,171,254,664,233,34,723,4,3,2,1
190,"LANDESHUT","LIE",1,701,14,46,91,103,41,22,5,5,7,3,753,1237,38,53,110,112,110,165,455,298,26,276,3,12,0,3,4,454,25,161,85,118,50,29,0,2,2,4,2056,3173,28,47,131,109,100,218,500,389,28,529,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,0,0,0,0,3,1,4,2,0,0,0,0,0,0,5,1162,39,209,176,221,92,51,6,7,9,7,2868,4431,66,101,242,221,214,385,962,691,54,808,6,17,0,3
191,"HIRSCHBERG","LIE",4,166,227,515,255,398,122,167,10,33,7,14,1160,1597,155,557,496,500,284,500,1434,475,168,1280,17,95,21,23,2,68,73,194,45,124,30,48,2,6,3,12,119,417,34,136,88,132,73,199,378,286,40,199,1,16,6,7,0,0,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,5,3,3,1,0,0,1,2,0,0,6,234,300,709,301,522,152,216,12,40,10,26,1283,2016,189,693,585,634,362,702,1820,762,208,1481,19,113,27,30
192,"LOWENBERG","LIE",0,53,46,380,210,207,141,100,7,37,7,7,530,654,71,117,340,272,295,368,1190,347,73,758,8,18,11,17,1,0,16,135,63,79,41,17,2,3,1,0,471,211,37,44,119,83,77,138,490,143,33,370,5,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,1,53,62,515,276,287,185,118,9,40,8,7,1002,866,108,162,461,355,378,506,1688,491,106,1131,13,21,15,27
193,"LAUBAN","LIE",3,244,56,567,217,337,113,180,6,4,4,15,3773,2497,78,173,366,342,385,551,1227,394,88,1315,12,40,10,18,1,12,4,60,33,62,10,47,0,2,2,3,205,216,20,29,45,46,46,73,187,94,12,154,0,6,2,3,0,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,256,61,627,250,399,123,228,6,7,6,18,3982,2717,98,202,413,389,431,626,1416,489,100,1471,12,47,12,21
194,"GORLITZ","LIE",0,7,22,162,163,915,84,538,16,59,7,53,181,1469,98,206,263,692,201,801,1661,1087,159,997,23,151,22,102,1,0,2,23,14,186,15,95,1,6,0,3,22,209,15,43,32,89,38,94,281,238,20,97,0,18,6,9,0,0,0,0,1,0,0,1,2,4,0,0,6,1,1,1,0,0,12,1,8,4,0,0,0,0,0,0,1,7,24,186,178,1102,101,638,19,70,7,56,209,1679,114,250,299,788,252,898,1962,1332,179,1096,23,170,28,111
195,"GORLITZ","LIE",2,165,71,1313,151,172,79,99,9,36,2,31,114,137,34,40,254,162,266,392,684,166,53,1041,0,5,6,8,0,4,1,173,4,14,3,7,0,1,0,2,2,9,2,5,6,10,26,34,31,11,3,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,169,72,1487,156,186,82,107,9,38,2,33,116,146,36,45,260,172,292,428,715,177,56,1068,0,5,6,8
196,"ROTHENBURG","LIE",11,288,91,784,141,264,74,151,3,4,5,5,83,173,46,98,191,194,226,316,578,254,53,617,6,16,3,4,0,11,30,42,8,17,1,8,0,0,0,0,0,2,1,3,3,12,8,11,15,5,2,6,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,299,122,826,149,282,75,159,3,4,5,5,83,175,47,101,194,206,234,327,594,259,55,623,6,18,3,4
197,"HOYERSWERDA","LIE",1,120,8,370,91,192,45,56,3,18,1,2,47,32,16,12,73,54,118,145,324,169,38,390,3,7,4,6,0,9,5,92,18,6,9,10,1,1,0,0,33,14,3,2,22,5,19,18,92,34,14,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,129,13,462,109,198,54,66,4,19,1,2,80,46,19,14,95,59,137,163,416,203,52,462,4,8,4,6
198,"KREUZBURG","OPP",0,13,8,95,67,89,45,55,4,6,3,5,71,8,34,76,108,134,124,331,546,299,31,370,1,4,0,0,0,4,5,51,33,40,13,18,0,1,1,3,13,7,10,29,38,61,36,126,172,104,19,210,1,4,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,2,0,1,0,15,6,19,5,1,1,0,0,0,0,0,17,13,146,102,130,59,73,4,7,5,8,84,15,46,105,147,195,175,463,737,408,51,581,2,8,0,0
199,"ROSENBERG","OPP",0,26,2,32,15,14,8,11,1,1,0,1,8,2,4,8,21,20,22,46,55,23,7,93,0,1,0,0,1,86,3,95,45,44,24,20,2,3,3,4,36,27,14,22,76,98,84,161,389,183,25,484,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2,9,11,8,1,1,1,0,0,0,0,1,112,5,127,61,58,32,31,4,5,3,5,45,29,18,30,97,120,115,218,452,207,33,578,1,3,0,0
